aardvark	a-rdvark	1<<<>2<<	0
aback	xb@k-	0>1<<	0
abacus	@bxkxs	1<0>0<	0
abaft	xb@ft	0>1<<	0
abalone	@bxloni	2<0>1>0	0
abandon	xb@ndxn	0>1<>0<	0
abase	xbes-	0>1<<	0
abash	xb@S-	0>1<<	0
abate	xbet-	0>1<<	0
abatis	@bxti-	1<0>2<	2
abattoir	@bxt-+-r	1<0<>2<<	2
abbacy	@b-xsi	1<>0>0	0
abbe	@b-e	0<>1	0
abbess	@b-xs-	1<>0<<	0
abbey	@b-i-	1<>0<	0
abbot	@b-xt	1<>0<	0
abbreviate	xb-riviet-	0<>>1>02<<	0
abbreviation	xb-rivieS-xn	0<>>2>01>0<<	0
abdicate	@bdIket-	1<>0>2<<	0
abdication	@bdIkeS-xn	2<>0>1>0<<	0
abdomen	@bdxmxn	1<>0>0<	0
abdominal	@bdamxn-L	0<>1<0<0<	0
abduct	@bd^kt	0<>1<<	0
abeam	xbi-m	0>1<<	0
abecedarian	ebisidErixn	2>0>0>1<00<	0
abed	xbEd	0>1<	0
aberrant	@bEr-xnt	0>1<>0<<	0
aberration	@bxr-eS-xn	2<0<>1>0<<	0
abet	xbEt	0>1<	0
abeyance	xbe-xns-	0>10<<<<	0
abhor	@bhcr	0<>1<	0
abide	xbAd-	0>1<<	0
ability	xbIlxti	0>1<0<0	0
abject	@bJEkt	1<>2<<	0
abjection	@bJEkS-xn	0<>1<>0<<	0
abjectly	@bJEktli	1<>0<<>0	0
abjuration	@bJxreS-xn	2<>0>1>0<<	0
abjure	@bJUr-	0<>1<<	0
ablate	@blet-	0>>1<<	0
ablative	@blxtxv-	1<>0<0<<	0
ablaze	xblez-	0>>1<<	0
able	ebL-	1>>0	0
abloom	xblu-m	0>>1<<	0
ablution	@bluS-xn	0>>1>0<<	0
abnegate	@bnIget-	1<>0>2<<	0
abnegation	@bnIgeS-xn	2<>0>1>0<<	0
abnormal	@bncrm-L	0<>1<>0<	0
abnormality	@bncrm@lxti	2<>0<>1<0<0	0
abnormally	@bncrmxl-i	0<>1<>0<>0	0
aboard	xbo-rd	0>1<<<	0
abode	xbod-	0>1<<	0
abolish	xbalIS-	0>1<0<<	0
abolition	@bxlIS-xn	2<0>1<0<<	0
abolitionist	@bxlIS-xnxst	2<0>1<0>>0<<	0
abominable	xbamxnxbL-	0>1<0>0>>0	0
abominate	xbamxnet-	0>1<0>2<<	0
aboriginal	@bxrIJxn-L	2<0>1<0>0<	0
aborigine	@bxrIJxni	2<0>1<0>0	0
aborning	xbcrnIG-	0>1<>0<<	0
abortion	xbcrS-xn	0>1<>0<<	0
abound	xbW-nd	0>1<<<	0
about	xbW-t	0>1<<	0
above	xb^v-	0>1<<	0
abracadabra	@brxkxd@brx	2<>0>0>1<>0	0
abrade	xbred-	0>>1<<	0
abrasive	xbresIv-	0>>1>0<<	0
abreast	xbrE-st	0>>1<<<	0
abridge	xbrI-J-	0>>0<<<	0
abroad	xbrc-d	0>>1<<	0
abrogate	@brxget-	1<>0>2<<	0
abrogation	@brxgeS-xn	2<>0>1>0<<	0
abrupt	xbr^pt	0>>1<<	0
abscess	@bs-Es-	0>>>1<<	0
abscound	@bska-nd	0<>>1<<<	0
absence	@bsxns-	1<>0<<<	0
absent	@bsxnt	1<>0<<	0
absent	@bsEnt	0<>1<<	0
absentee	@bsxnti-	2<>0<>1<	0
absentminded	@bsxntmAndxd	2<>0<<>1<>0<	0
absinthe	@bsInT--	1<>2<<<<	0
absolute	@bsxlut-	1<>0>2<<	0
absolutely	@bsxlut-li	1<>0>2<>>0	0
absolution	@bsxluS-xn	2<>0>1>0<<	0
absolutism	@bsxlutIzM	1<>0>2<2<0	0
absolve	xbsalv-	0<>1<<<	0
absorb	xbscrb	0<>1<<	0
abstain	xbste-n	0<>>1<<	0
abstemious	@bstimix-s	0<>>1>00<<	0
abstinence	@bstxnxns-	1<>>0>0<<<	0
abstract	@bstr@kt	1<>>>2<<	0
abstract	@bstr@kt	0<>>>1<<	0
abstraction	@bstr@kS-xn	0<>>>1<>0<<	0
abstracts	@bstr@kts	0<>>>1<<<	0
abstruse	xbstrus-	0<>>>1<<	0
absurd	xbs-Rd	0<>1<<	0
abundant	xb^ndxnt	0>1<>0<<	0
abuse	xbYz-	0>1<<	0
abut	xb^t	0>1<	0
abuttals	xb^t--Lz	0>1<>0<<	0
abysm	xbIzM	0>1<0	0
abysmal	xbIzm-L	0>1<>0<	0
abyss	xbIs-	0>1<<	0
acacia	xkeSx-	0>1>0<	0
academe	@kxdim-	1<0>2<<	0
academic	@kxdEmIk	2<0>1<0<	0
academician	@kxdxmIS-xn	2<0<0>1<0<<	0
